X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.2075043,22.3893356300001,66,66,Corporation Park,22.38933563,114.2075043,Standard,New Territories,Shatin,"Corporation Park Carpark G/F,  11 On Lai Street, Shatin, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Corporation%20Park.jpg
114.1930924,22.3972835500001,67,67,Shatin Galleria,22.39728355,114.1930924,Standard,New Territories,Shatin,"Shatin Galleria Carpark 4/F,  18-24 Shan Mei Street, Fo Tan, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Shatin%20Galleria.jpg
114.1129684,22.37609482,68,68,Discovery Park Shopping Mall,22.37609482,114.1129684,Standard,New Territories,Tsuen Wan,"Discovery Park Shopping Mall Carpark Level 4,  398 Castle Park Road, Tsuen Wan, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Discovery%20Park%20Shopping%20Mall.jpg
114.1208954,22.3691139200001,69,69,Panda Place,22.36911392,114.1208954,Standard,New Territories,Tsuen Wan,"Panda Place Carpark 4/F,  3 Tuen Wah Street, Tsuen Wan, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Panda%20Place.jpg
114.1144028,22.3629608200001,70,70,Riviera Plaza,22.36296082,114.1144028,Standard,New Territories,Tsuen Wan,"Riviera Plaza Carpark B1,  28 Wing Shun Street,Tsuen Wan, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Riviera%20Plaza.jpg
114.1145706,22.36330414,71,71,Waterside Plaza,22.36330414,114.1145706,Standard,New Territories,Tsuen Wan,"Waterside Plaza Carpark 1/F,  38 Wing Shun Street,Tsuen Wan, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Waterside%20Plaza.jpg
113.9716187,22.3839397400001,72,72,Oceania Heights,22.38393974,113.9716187,Standard,New Territories,Tuen Mun,"Oceania Heights Carpark Level 1,  2 Hoi Chu Rd. ,Tuen Mun, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Oceania%20Heights.jpg
113.9694443,22.39612961,73,73,Parklane Centre,22.39612961,113.9694443,Standard,New Territories,Tuen Mun,"Parklane Centre Carpark G/F,  25 Kin Wing St., Tuen Mun, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Parklane%20Centre.jpg
113.9764328,22.3938217200001,74,74,Tuen Mun Town Plaza II,22.39382172,113.9764328,Standard,New Territories,Tuen Mun,"Tuen Mun Town Plaza II Carpark G/F,  3 Tuen Lung St., Tuen Mun, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20II.jpg
113.9774857,22.3943252600001,75,75,Tuen Mun Town Plaza III,22.39432526,113.9774857,Standard,New Territories,Tuen Mun,"Tuen Mun Town Plaza III Carpark B2/F,  2 Tuen Yan St., Tuen Mun, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20III.jpg
114.0312271,22.44520378,76,76,Golden Plaza,22.44520378,114.0312271,Standard,New Territories,Yuen Long,"Golden Plaza Carpark 3/F,  28 Shui Che Kwun St., Yuen Long, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Golden%20Plaza.jpg
114.0220261,22.44681168,77,77,Ping Wui Centre,22.44681168,114.0220261,Standard,New Territories,Yuen Long,"Ping Wui Centre Carpark 1/F,  13 Ping Wui St., Yuen Long, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Ping%20Wui%20Centre.jpg
114.0214539,22.4404621100001,78,78,Springdale Villas,22.44046211,114.0214539,Standard,New Territories,Yuen Long,"Springdale Villas Carpark 2/F,  80 Ma Tin Road, Yuen Long, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Springdale%20Villas.jpg
114.127182,22.50141144,79,79,Choi Yuen Plaza,22.50141144,114.127182,Quick,New Territories,North,"Choi Yuen Plaza Carpark 3, G/F,  Choi Yuen Estate,Sheung Shui ,N.T.",CLP,6,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg
114.2353668,22.2659244500001,80,80,Trend Centre,22.26592445,114.2353668,Standard,Hong Kong Island,Eastern,"Trend Centre Carpark 1/F, 29-31 Cheung Lee St, Chai Wan, Hong Kong",Others,null,/EV/PublishingImages/common/map/Trend%20Centre.jpg
114.2163086,22.3251075700001,81,81,Amoy Plaza,22.32510757,114.2163086,Standard,Kowloon,Kwun Tong,"Amoy Plaza Carpark 1/F, 77 Ngau Tau Kok Road, Kowloon Bay, Kowloon",Others,null,/EV/PublishingImages/common/map/Amoy%20Plaza.jpg
114.1501923,22.33894157,82,82,Excel Centre,22.33894157,114.1501923,Standard,Kowloon,Sham Shui Po,"Excel Centre Carpark G/F, 483A Castle Peak Road, Cheung Sha Wan, Kowloon",Others,null,/EV/PublishingImages/common/map/Excel%20Centre.jpg
114.126442,22.50029182,83,83,Choi Yuen Plaza,22.50029182,114.126442,SemiQuick,New Territories,North,"Choi Yuen Plaza Carpark 3, G/F,  Choi Yuen Estate, Sheung Shui ,N.T.",CLP,7-Oct,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg
114.1026306,22.36264801,84,84,Cheung Fat Plaza,22.36264801,114.1026306,SemiQuick,New Territories,Kwai Tsing,"Cheung Fat Plaza Carpark 2/F, Cheung Fat Estate, Tsing Yi, N.T.",CLP,2094 - 2096,/EV/PublishingImages/common/map/map_thumb/Entrance_Cheung%20Fat%20Plaza.jpg
114.2374649,22.2985076900001,85,85,Yau Lai Shopping Centre,22.29850769,114.2374649,SemiQuick,Kowloon,Kwun Tong,"Yau Lai Shopping Centre Carpark LG1/F, 9 Yau Tong Road, Yau Tong, Kowloon",CLP,"27-30, 34-35",/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg
114.2374649,22.2985076900001,86,86,Yau Lai Shopping Centre,22.29850769,114.2374649,Quick,Kowloon,Kwun Tong,"Yau Lai Shopping Centre Carpark LG1/F, 9 Yau Tong Road, Yau Tong, Kowloon",CLP,"31, 33",/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg
114.213768,22.3314209000001,87,87,Choi Tak Shopping Centre,22.3314209,114.213768,SemiQuick,Kowloon,Kwun Tong,"Choi Tak Shopping Centre Carpark 2/F,  Ngau Tau Kok, Kowloon",CLP,258-262,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Tak%20Shopping%20Centre.jpg
114.0220795,22.4468097700001,88,88,Shui Pin Wai Estate,22.44680977,114.0220795,Quick,New Territories,Yuen Long,"Shui Pin Wai Estate Carpark G/F,  Yuen Long, N.T.",CLP,7,/EV/PublishingImages/common/map/map_thumb/Entrance_Shui%20Pin%20Wai%20Estate.jpg
114.2103195,22.22004509,89,89,Stanley Plaza,22.22004509,114.2103195,Quick,Hong Kong Island,Southern,"Stanley Plaza Carpark 4/F, 23 Carmel Road, Stanley, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_dummy_gov.jpg
114.1604309,22.2822742500001,90,90,Star Ferry,22.28227425,114.1604309,Quick,Hong Kong Island,Central and Western,"Star Ferry Carpark 4/F, 9 Edinburgh Place, Central, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg
113.933815,22.31824684,91,91,Hong Kong International Airport,22.31824684,113.933815,Quick,Outlying Islands,Outlying Islands,"HK International Airport Carpark 4, 1/F, 11 Cheong Tat Road, Hong Kong International Airport-station, Chek Lap Kok",CLP,"1002, 1087-1089",/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20International%20Airport.jpg
114.1277084,22.3674316400001,92,92,Kwai Chung Shopping Centre,22.36743164,114.1277084,SemiQuick,New Territories,Kwai Tsing,"Kwai Chung Shopping Centre Carpark L2, Kwai Chung Estate, Kwai Chung, NT",CLP,"P115-P120, P168",/EV/PublishingImages/common/map/map_thumb/Entrance_Kwai%20Chung%20Estate.jpg
114.118721,22.3730106400001,93,93,Tsuen Wan Multi-storey Car Park,22.37301064,114.118721,"Standard;SemiQuick",New Territories,Tsuen Wan,"Tsuen Wan Multi-storey Car Park,  174-208 Castle Peak Road, Tsuen Wan",Others,null,null
114.1969681,22.33988571,94,94,Lions Rise Mall,22.33988571,114.1969681,"Standard;SemiQuick",Kowloon,Wong Tai Sin,"8 Muk Lun Street, Wong Tai Sin",Others,null,null
